Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Stage,Amount,Investment_year,Headquarter_City,Category,Categorised_stage
PetSutra,,"Gurgaon, Haryana, India",Veterinary,Gurugram-based Online petcare platform.,,,Seed,0.05998232100012628,2018,Gurgaon,Other,Seed
PinkBlue,,"Bangalore, Karnataka, India","Health Care, Hospital, Supply Chain Management",PinkBlue.in - Super-efficient supply-chain for clinical supplies,,,Seed,0.3,2018,Bangalore,Technology & Software,Seed
Eduvanz,,"Mumbai, Maharashtra, India","Finance, Financial Services","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",,,Angel,0.5,2018,Mumbai,Other,Other
Rupeek,,"Bangalore, Karnataka, India","Financial Services, Lending",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,,,Series A,6.83,2018,Bangalore,Other,Series A
Backpacker Panda Holidays Private Limited,,"Pune, Maharashtra, India","Tourism, Travel",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,,,Series A,1.4,2018,Pune,Hospitality,Series A
Shape (School Health and Physical Education),,"Pune, Maharashtra, India",Education,Physical education start up,,,Seed,0.2,2018,Pune,Other,Seed
Placio,,"Noida, Uttar Pradesh, India","Hospitality, Real Estate",Placio is a student housing and a complete broker-free platform.,,,Seed,2.0,2018,Noida,Technology & Software,Seed
Aviom India Housing Finance,,"New Delhi, Delhi, India",Finance,Delhi based housing finance company.,,,Series A,0.9470892789493623,2018,New Delhi,Other,Series A
HeyHolidays,,"Bangalore, Karnataka, India","Tourism, Travel","HeyHolidays, a global player in online vacation rentals.",,,Seed,1.0,2018,Bangalore,Hospitality,Seed
Pratilipi,,"Bengaluru, Karnataka, India","Digital Media, EBooks, Publishing, Reading Apps",Amazon's Kindle Direct Publishing for Indian Languages,,,Series A,4.3,2018,Bengaluru,Technology & Software,Series A
Silversparro Technologies Pvt. Ltd,,"Gurgaon, Haryana, India","Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Silversparro is a deep learning technology solution provider.,,,Seed,0.3,2018,Gurgaon,Technology & Software,Seed
Emflux Motors,,"Bengaluru, Karnataka, India","Automotive, Electric Vehicle, Energy",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,,,Seed,0.364846,2018,Bengaluru,Energy,Seed
Tricog Health Services Pvt Ltd,,"Bangalore, Karnataka, India","Health Care, Health Diagnostics, Predictive Analytics",Predictive Healthcare Analytics Company,,,Series A,4.0,2018,Bangalore,Healthcare & HealthTech,Series A
